date,cities,pct_chng_feb_1
2020-02-07,Blackburn,-2.12
2020-02-07,Blackpool,0.73
2020-02-07,Cambridge,-1
2020-02-07,Doncaster,-0.01
2020-02-07,Edinburgh,0.44
2020-02-07,Leicester,-1.65
2020-02-07,Liverpool,3.59
2020-02-07,Mansfield,0.52
2020-02-07,Newcastle,2.29
2020-02-07,Sheffield,0.39
2020-02-07,Wakefield,1.6
2020-02-07,Birkenhead,0.81
2020-02-07,Birmingham,4.25
2020-02-07,Gloucester,2.82
2020-02-07,Manchester,1.38
2020-02-07,Nottingham,-0.88
2020-02-07,Portsmouth,-0.4
2020-02-07,Sunderland,2.08
2020-02-07,Warrington,3.2
2020-02-07,Bournemouth,0.9
2020-02-07,Northampton,-0
2020-02-07,Southampton,0.54
2020-02-07,Huddersfield,0.93
2020-02-07,Peterborough,-0.57
2020-02-07,Middlesbrough,-1.45
2020-02-07,Milton Keynes,0.93
2020-02-08,Hull,1.24
2020-02-08,York,2.38
2020-02-08,Derby,3.34
2020-02-08,Leeds,1.53
2020-02-08,Luton,1.77
2020-02-08,Stoke,-0.27
2020-02-08,Wigan,0.3
2020-02-08,Dundee,0.21
2020-02-08,Exeter,1.95
2020-02-08,London,0.78
2020-02-08,Oxford,0.45
2020-02-08,Slough,0.51
2020-02-08,Belfast,0.1
2020-02-08,Bristol,-0.09
2020-02-08,Burnley,-2.93
2020-02-08,Cardiff,1.9
2020-02-08,Chatham,2.11
2020-02-08,Crawley,1.18
2020-02-08,Glasgow,1.58
2020-02-08,Ipswich,0.92
2020-02-08,Newport,0.95
2020-02-08,Norwich,-0.24
2020-02-08,Preston,-1.07
2020-02-08,Reading,0.13
2020-02-08,Swansea,0.16
2020-02-08,Swindon,3.34
2020-02-08,Telford,3.61
2020-02-08,Aberdeen,1.34
2020-02-08,Barnsley,-0.62
2020-02-08,Basildon,-2.59
2020-02-08,Bradford,7.52
2020-02-08,Brighton,1.26
2020-02-08,Coventry,1.26
2020-02-08,Plymouth,2.98
2020-02-08,Southend,-0.67
2020-02-08,Worthing,3.1
2020-02-08,Aldershot,1.02
2020-02-08,Blackburn,-2.6
2020-02-08,Blackpool,0.53
2020-02-08,Cambridge,-1.09
2020-02-08,Doncaster,0.27
2020-02-08,Edinburgh,0.45
2020-02-08,Leicester,-1.71
2020-02-08,Liverpool,4.04
2020-02-08,Mansfield,0.5
2020-02-08,Newcastle,2.64
2020-02-08,Sheffield,0.41
2020-02-08,Wakefield,1.89
2020-02-08,Birkenhead,1.34
2020-02-08,Birmingham,4.8
2020-02-08,Gloucester,3.37
2020-02-08,Manchester,1.63
2020-02-08,Nottingham,-1.06
2020-02-08,Portsmouth,-0.33
2020-02-08,Sunderland,3.07
2020-02-08,Warrington,3.22
2020-02-08,Bournemouth,0.89
2020-02-08,Northampton,0.48
2020-02-08,Southampton,0.65
2020-02-08,Huddersfield,0.72
2020-02-08,Peterborough,-0.48
2020-02-08,Middlesbrough,-1.58
2020-02-08,Milton Keynes,1.21
2020-02-09,Hull,1.74
2020-02-09,York,2.31
2020-02-09,Derby,3.43
2020-02-09,Leeds,1.48
2020-02-09,Luton,1.67
2020-02-09,Stoke,-0.2
2020-02-09,Wigan,0.03
2020-02-09,Dundee,0.04
2020-02-09,Exeter,2.12
2020-02-09,London,1.02
2020-02-09,Oxford,0.71
2020-02-09,Slough,0.59
2020-02-09,Belfast,0.35
2020-02-09,Bristol,0.11
2020-02-09,Burnley,-3
2020-02-09,Cardiff,2.18
2020-02-09,Chatham,1.71
2020-02-09,Crawley,0.99
2020-02-09,Glasgow,1.93
2020-02-09,Ipswich,0.67
2020-02-09,Newport,1.04
2020-02-09,Norwich,-0.51
2020-02-09,Preston,-0.61
2020-02-09,Reading,0.22
2020-02-09,Swansea,-0.17
2020-02-09,Swindon,3.6
2020-02-09,Telford,4.29
2020-02-09,Aberdeen,1.88
2020-02-09,Barnsley,-0.98
2020-02-09,Basildon,-3.04
2020-02-09,Bradford,8
2020-02-09,Brighton,1.28
2020-02-09,Coventry,1.47
2020-02-09,Plymouth,3.21
2020-02-09,Southend,-1.03
2020-02-09,Worthing,3.42
2020-02-09,Aldershot,1.21
2020-02-09,Blackburn,-2.98
2020-02-09,Blackpool,0.19
2020-02-09,Cambridge,-1.25
2020-02-09,Doncaster,0.47
2020-02-09,Edinburgh,0.46
2020-02-09,Leicester,-1.96
2020-02-09,Liverpool,4.25
2020-02-09,Mansfield,0.32
2020-02-09,Newcastle,2.79
2020-02-09,Sheffield,0.42
2020-02-09,Wakefield,1.97
2020-02-09,Birkenhead,1.74
2020-02-09,Birmingham,5.31
2020-02-09,Gloucester,3.98
2020-02-09,Manchester,1.75
2020-02-09,Nottingham,-1.36
2020-02-09,Portsmouth,-0.31
2020-02-09,Sunderland,3.86
2020-02-09,Warrington,2.97
2020-02-09,Bournemouth,0.76
2020-02-09,Northampton,0.8
2020-02-09,Southampton,0.58
2020-02-09,Huddersfield,-0.19
2020-02-09,Peterborough,-0.34
2020-02-09,Middlesbrough,-1.7
2020-02-09,Milton Keynes,1.46
2020-02-10,Hull,2.11
2020-02-10,York,2.29
2020-02-10,Derby,3.46
2020-02-10,Leeds,1.33
2020-02-10,Luton,1.2
2020-02-10,Stoke,-0.11
2020-02-10,Wigan,-0.28
2020-02-10,Dundee,-0.27
2020-02-10,Exeter,2.47
2020-02-10,London,1.17
2020-02-10,Oxford,0.91
2020-02-10,Slough,0.67
2020-02-10,Belfast,0.59
2020-02-10,Bristol,0.27
2020-02-10,Burnley,-3.16
2020-02-10,Cardiff,2.22
2020-02-10,Chatham,1.28
2020-02-10,Crawley,0.78
2020-02-10,Glasgow,2.25
2020-02-10,Ipswich,0.22
2020-02-10,Newport,0.99
2020-02-10,Norwich,-0.85
2020-02-10,Preston,-0.08
2020-02-10,Reading,0.29
2020-02-10,Swansea,-0.25
2020-02-10,Swindon,3.79
2020-02-10,Telford,4.88
2020-02-10,Aberdeen,2.21
2020-02-10,Barnsley,-1.77
2020-02-10,Basildon,-3.74
2020-02-10,Bradford,8.21
2020-02-10,Brighton,1.12
2020-02-10,Coventry,1.64
2020-02-10,Plymouth,3.44
2020-02-10,Southend,-1.58
2020-02-10,Worthing,3.45
2020-02-10,Aldershot,1.21
2020-02-10,Blackburn,-3.27
2020-02-10,Blackpool,-0.26
2020-02-10,Cambridge,-1.44
2020-02-10,Doncaster,0.64
2020-02-10,Edinburgh,0.45
2020-02-10,Leicester,-2.22
2020-02-10,Liverpool,4.41
2020-02-10,Mansfield,-0.02
2020-02-10,Newcastle,2.7
2020-02-10,Sheffield,0.2
2020-02-10,Wakefield,2.32
2020-02-10,Birkenhead,2.14
2020-02-10,Birmingham,5.68
2020-02-10,Gloucester,4.05
2020-02-10,Manchester,1.78
2020-02-10,Nottingham,-1.62
2020-02-10,Portsmouth,-0.26
2020-02-10,Sunderland,4.49
2020-02-10,Warrington,2.38
2020-02-10,Bournemouth,0.68
2020-02-10,Northampton,1.03
