date,jobcountry,indeed_job_postings_index,variable,display_name
2021-06-11,GB,77.34,total postings,Accounting
2021-06-12,GB,77.29,total postings,Accounting
2021-06-13,GB,77.24,total postings,Accounting
2021-06-14,GB,77.28,total postings,Accounting
2021-06-15,GB,77.43,total postings,Accounting
2021-06-16,GB,77.49,total postings,Accounting
2021-06-17,GB,77.37,total postings,Accounting
2021-06-18,GB,78.32,total postings,Accounting
2021-06-19,GB,79.33,total postings,Accounting
2021-06-20,GB,79.29,total postings,Accounting
2021-06-21,GB,80.09,total postings,Accounting
2021-06-22,GB,80.99,total postings,Accounting
2021-06-23,GB,81.77,total postings,Accounting
2021-06-24,GB,82.85,total postings,Accounting
2021-06-25,GB,82.77,total postings,Accounting
2021-06-26,GB,82.88,total postings,Accounting
2021-06-27,GB,83.79,total postings,Accounting
2021-06-28,GB,83.93,total postings,Accounting
2021-06-29,GB,83.94,total postings,Accounting
2021-06-30,GB,83.96,total postings,Accounting
2021-07-01,GB,83.98,total postings,Accounting
2021-07-02,GB,84.09,total postings,Accounting
2021-07-03,GB,84.45,total postings,Accounting
2021-07-04,GB,84.08,total postings,Accounting
2021-07-05,GB,84.13,total postings,Accounting
2021-07-06,GB,84.43,total postings,Accounting
2021-07-07,GB,85.05,total postings,Accounting
2021-07-08,GB,85.76,total postings,Accounting
2021-07-09,GB,86.49,total postings,Accounting
2021-07-10,GB,86.83,total postings,Accounting
2021-07-11,GB,88,total postings,Accounting
2021-07-12,GB,88.68,total postings,Accounting
2021-07-13,GB,89.21,total postings,Accounting
2021-07-14,GB,88.65,total postings,Accounting
2021-07-15,GB,88.84,total postings,Accounting
2021-07-16,GB,88.65,total postings,Accounting
2021-07-17,GB,88.69,total postings,Accounting
2021-07-18,GB,88.44,total postings,Accounting
2021-07-19,GB,88.38,total postings,Accounting
2021-07-20,GB,88.18,total postings,Accounting
2021-07-21,GB,88.93,total postings,Accounting
2021-07-22,GB,88.73,total postings,Accounting
2021-07-23,GB,88.74,total postings,Accounting
2021-07-24,GB,88.71,total postings,Accounting
2021-07-25,GB,88.95,total postings,Accounting
2021-07-26,GB,88.63,total postings,Accounting
2021-07-27,GB,88.25,total postings,Accounting
2021-07-28,GB,87.62,total postings,Accounting
2021-07-29,GB,87.69,total postings,Accounting
2021-07-30,GB,87.66,total postings,Accounting
2021-07-31,GB,87.39,total postings,Accounting
2021-08-01,GB,87.31,total postings,Accounting
2021-08-02,GB,87.44,total postings,Accounting
2021-08-03,GB,87.54,total postings,Accounting
2021-08-04,GB,87.78,total postings,Accounting
2021-08-05,GB,87.59,total postings,Accounting
2021-08-06,GB,87.66,total postings,Accounting
2021-08-07,GB,87.92,total postings,Accounting
2021-08-08,GB,87.88,total postings,Accounting
2021-08-09,GB,87.97,total postings,Accounting
2021-08-10,GB,88.03,total postings,Accounting
2021-08-11,GB,88.16,total postings,Accounting
2021-08-12,GB,88.52,total postings,Accounting
2021-08-13,GB,88.8,total postings,Accounting
2021-08-14,GB,89.28,total postings,Accounting
2021-08-15,GB,89.97,total postings,Accounting
2021-08-16,GB,90.39,total postings,Accounting
2021-08-17,GB,91.05,total postings,Accounting
2021-08-18,GB,91.75,total postings,Accounting
2021-08-19,GB,92.26,total postings,Accounting
2021-08-20,GB,93.12,total postings,Accounting
2021-08-21,GB,93.81,total postings,Accounting
2021-08-22,GB,94.35,total postings,Accounting
2021-08-23,GB,95.06,total postings,Accounting
2021-08-24,GB,95.69,total postings,Accounting
2021-08-25,GB,95.84,total postings,Accounting
2021-08-26,GB,95.85,total postings,Accounting
2021-08-27,GB,95.62,total postings,Accounting
2021-08-28,GB,95.53,total postings,Accounting
2021-08-29,GB,95.47,total postings,Accounting
2021-08-30,GB,95.66,total postings,Accounting
2021-08-31,GB,95.5,total postings,Accounting
2021-09-01,GB,95.56,total postings,Accounting
2021-09-02,GB,95.73,total postings,Accounting
2021-09-03,GB,95.63,total postings,Accounting
2021-09-04,GB,95.38,total postings,Accounting
2021-09-05,GB,95.35,total postings,Accounting
