date,region,indeed_job_postings_index
2021-11-24,East Midlands,176.5
2021-11-25,East Midlands,176.97
2021-11-26,East Midlands,177.13
2021-11-27,East Midlands,177.55
2021-11-28,East Midlands,177.78
2021-11-29,East Midlands,178.36
2021-11-30,East Midlands,178.65
2021-12-01,East Midlands,178.25
2021-12-02,East Midlands,177.75
2021-12-03,East Midlands,177.38
2021-12-04,East Midlands,176.99
2021-12-05,East Midlands,176.5
2021-12-06,East Midlands,175.97
2021-12-07,East Midlands,175.87
2021-12-08,East Midlands,176.26
2021-12-09,East Midlands,176.64
2021-12-10,East Midlands,176.99
2021-12-11,East Midlands,177.19
2021-12-12,East Midlands,177.69
2021-12-13,East Midlands,178.18
2021-12-14,East Midlands,178.4
2021-12-15,East Midlands,178.59
2021-12-16,East Midlands,178.67
2021-12-17,East Midlands,178.75
2021-12-18,East Midlands,178.75
2021-12-19,East Midlands,178.52
2021-12-20,East Midlands,178.31
2021-12-21,East Midlands,177.94
2021-12-22,East Midlands,177.51
2021-12-23,East Midlands,177.26
2021-12-24,East Midlands,177.06
2021-12-25,East Midlands,177.04
2021-12-26,East Midlands,177.15
2021-12-27,East Midlands,177.64
2021-12-28,East Midlands,178.4
2021-12-29,East Midlands,178.81
2021-12-30,East Midlands,178.81
2021-12-31,East Midlands,178.48
2022-01-01,East Midlands,176.88
2022-01-02,East Midlands,174.62
2022-01-03,East Midlands,171.76
2022-01-04,East Midlands,168.29
2022-01-05,East Midlands,165.39
2022-01-06,East Midlands,162.81
2022-01-07,East Midlands,161
2022-01-08,East Midlands,160.53
2022-01-09,East Midlands,160.44
2022-01-10,East Midlands,160.34
2022-01-11,East Midlands,160.87
2022-01-12,East Midlands,161.41
2022-01-13,East Midlands,162.03
2022-01-14,East Midlands,162.24
2022-01-15,East Midlands,162.76
2022-01-16,East Midlands,163.24
2022-01-17,East Midlands,164
2022-01-18,East Midlands,164.92
2022-01-19,East Midlands,165.65
2022-01-20,East Midlands,166.3
2022-01-21,East Midlands,166.88
2022-01-22,East Midlands,167.11
2022-01-23,East Midlands,167.53
2022-01-24,East Midlands,167.79
2022-01-25,East Midlands,167.67
2022-01-26,East Midlands,167.51
2022-01-27,East Midlands,167.19
2022-01-28,East Midlands,166.83
2022-01-29,East Midlands,166.5
2022-01-30,East Midlands,166.19
2022-01-31,East Midlands,165.83
2022-02-01,East Midlands,165.35
2022-02-02,East Midlands,165.65
2022-02-03,East Midlands,166.21
2022-02-04,East Midlands,166.75
2022-02-05,East Midlands,167.46
2022-02-06,East Midlands,168.15
2022-02-07,East Midlands,169.04
2022-02-08,East Midlands,170.33
2022-02-09,East Midlands,171.11
2022-02-10,East Midlands,171.77
2022-02-11,East Midlands,172.59
2022-02-12,East Midlands,173.02
2022-02-13,East Midlands,173.49
2022-02-14,East Midlands,173.79
2022-02-15,East Midlands,174.02
2022-02-16,East Midlands,174.04
2022-02-17,East Midlands,174.1
2022-02-18,East Midlands,173.95
