date,CBSA Title,cbsa_code,pct_chng_feb_1
2020-02-02,"Austin-Round Rock-Georgetown, TX",12420,0.161829187302387
2020-02-02,"Los Angeles-Long Beach-Anaheim, CA",31080,-0.0680097683394831
2020-02-02,"Columbus, OH",18140,-0.0868370981001121
2020-02-02,"Detroit-Warren-Dearborn, MI",19820,0.0212457708982594
2020-02-02,"Little Rock-North Little Rock-Conway, AR",30780,0.128927475387886
2020-02-02,"Urban Honolulu, HI",46520,-0.0476289455006884
2020-02-02,"Lancaster, PA",29540,-0.362520921570986
2020-02-02,"Baton Rouge, LA",12940,0.253963637010846
2020-02-02,"Durham-Chapel Hill, NC",20500,0.0308000054180413
2020-02-02,"Lexington-Fayette, KY",30460,0.447545184386988
2020-02-02,"Boston-Cambridge-Newton, MA-NH",14460,-0.0695304238425343
2020-02-02,"Denver-Aurora-Lakewood, CO",19740,-0.0926312488926162
2020-02-02,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,-0.0545341256777965
2020-02-02,"Riverside-San Bernardino-Ontario, CA",40140,-0.246535992975361
2020-02-02,"Orlando-Kissimmee-Sanford, FL",36740,-0.150415017920169
2020-02-02,"Chicago-Naperville-Elgin, IL-IN-WI",16980,-0.0193521367795046
2020-02-02,"Worcester, MA-CT",49340,-2.71477115565411e-5
2020-02-02,"Dallas-Fort Worth-Arlington, TX",19100,0.0390856050383581
2020-02-02,"Bakersfield, CA",12540,0.0882273106063369
2020-02-02,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,0.0375652533150195
2020-02-02,"Jackson, MS",27140,-0.0203950144157417
2020-02-02,"McAllen-Edinburg-Mission, TX",32580,-0.194014992605973
2020-02-02,"Bridgeport-Stamford-Norwalk, CT",14860,-0.109834528839481
2020-02-02,"Indianapolis-Carmel-Anderson, IN",26900,-0.0837480727254092
2020-02-02,"Oklahoma City, OK",36420,0.092959317984076
2020-02-02,"Atlanta-Sandy Springs-Alpharetta, GA",12060,0.0203805713097305
2020-02-02,"Seattle-Tacoma-Bellevue, WA",42660,-0.128516148847246
2020-02-02,"Madison, WI",31540,0.22955838663794
2020-02-02,"San Diego-Chula Vista-Carlsbad, CA",41740,-0.123399232945487
2020-02-02,"Charlotte-Concord-Gastonia, NC-SC",16740,-0.101376524230146
2020-02-02,"Greenville-Anderson, SC",24860,-0.0536800535068771
2020-02-02,"Syracuse, NY",45060,0.0280135248703628
2020-02-02,"New Haven-Milford, CT",35300,-0.0190539146413982
2020-02-02,"Toledo, OH",45780,0.15662339993292
2020-02-02,"Augusta-Richmond County, GA-SC",12260,0.0768232790360202
2020-02-02,"New Orleans-Metairie, LA",35380,0.212270060328712
2020-02-02,"Tucson, AZ",46060,-0.0564473767035945
2020-02-02,"Fayetteville, NC",22180,0.338755654462664
2020-02-02,"Sacramento-Roseville-Folsom, CA",40900,0.0871626982135609
2020-02-02,"Portland-South Portland, ME",38860,-0.0104656706142792
2020-02-02,"Wichita, KS",48620,0.0249009679173184
2020-02-02,"Cleveland-Elyria, OH",17460,-0.172648549241472
2020-02-02,"Milwaukee-Waukesha, WI",33340,0.175711658265709
2020-02-02,"Pittsburgh, PA",38300,0.120443198263032
2020-02-02,"Memphis, TN-MS-AR",32820,-0.192497518729784
2020-02-02,"Des Moines-West Des Moines, IA",19780,-0.134166257621959
2020-02-02,"Grand Rapids-Kentwood, MI",24340,-0.13199265175492
2020-02-02,"North Port-Sarasota-Bradenton, FL",35840,-0.460939125026838
2020-02-02,"Colorado Springs, CO",17820,0.148623885765309
2020-02-02,"Oxnard-Thousand Oaks-Ventura, CA",37100,-0.22931015943245
2020-02-02,"Provo-Orem, UT",39340,0.00892737959681256
2020-02-03,"Riverside-San Bernardino-Ontario, CA",40140,-0.165487951986432
2020-02-03,"Louisville/Jefferson County, KY-IN",31140,0.509730880510761
2020-02-03,"Atlanta-Sandy Springs-Alpharetta, GA",12060,0.22580426681178
2020-02-03,"Baltimore-Columbia-Towson, MD",12580,0.265710385848839
2020-02-03,"Lakeland-Winter Haven, FL",29460,0.0624816200781586
2020-02-03,"Wichita, KS",48620,0.36304088492618
2020-02-03,"Fresno, CA",23420,-0.456159685684665
2020-02-03,"Detroit-Warren-Dearborn, MI",19820,0.189186904241856
2020-02-03,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,0.264676194260494
2020-02-03,"Kansas City, MO-KS",28140,0.00472673006597368
2020-02-03,"Denver-Aurora-Lakewood, CO",19740,0.100379938299588
2020-02-03,"San Francisco-Oakland-Berkeley, CA",41860,-0.0163136581859624
2020-02-03,"Modesto, CA",33700,0.0914519625416554
2020-02-03,"Fayetteville, NC",22180,0.773373527487409
2020-02-03,"Cape Coral-Fort Myers, FL",15980,0.411661591494838
2020-02-03,"Colorado Springs, CO",17820,0.654807648225764
2020-02-03,"Oxnard-Thousand Oaks-Ventura, CA",37100,-0.0476113000304923
2020-02-03,"Little Rock-North Little Rock-Conway, AR",30780,0.376538922501735
2020-02-03,"Jackson, MS",27140,0.0392062114882297
2020-02-03,"Syracuse, NY",45060,0.571787328694606
2020-02-03,"Spokane-Spokane Valley, WA",44060,0.41565610595069
2020-02-03,"Omaha-Council Bluffs, NE-IA",36540,0.0215937071776029
2020-02-03,"Raleigh-Cary, NC",39580,-0.558076783581718
2020-02-03,"Toledo, OH",45780,0.493526870164729
2020-02-03,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,0.204214199227981
2020-02-03,"Albany-Schenectady-Troy, NY",10580,-0.355220868618789
2020-02-03,"Indianapolis-Carmel-Anderson, IN",26900,0.0554485148049899
2020-02-03,"Austin-Round Rock-Georgetown, TX",12420,0.445132586243058
2020-02-03,"Madison, WI",31540,0.715278241538297
2020-02-03,"Lexington-Fayette, KY",30460,0.937772435106776
2020-02-03,"Tucson, AZ",46060,0.0972390615723739
2020-02-03,"Charlotte-Concord-Gastonia, NC-SC",16740,-0.0679286713414218
2020-02-03,"Houston-The Woodlands-Sugar Land, TX",26420,-0.314775168381121
2020-02-03,"Boston-Cambridge-Newton, MA-NH",14460,0.0886857690756582
2020-02-03,"Knoxville, TN",28940,0.262810185868712
2020-02-03,"Tampa-St. Petersburg-Clearwater, FL",45300,0.160421649274256
2020-02-03,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,0.113905084279087
2020-02-03,"Salt Lake City, UT",41620,-0.439164624336552
2020-02-03,"Baton Rouge, LA",12940,0.529774928489402
2020-02-03,"Buffalo-Cheektowaga, NY",15380,0.367603480926748
2020-02-03,"Allentown-Bethlehem-Easton, PA-NJ",10900,-0.0863567138604915
2020-02-03,"Worcester, MA-CT",49340,0.293980096482982
2020-02-03,"Los Angeles-Long Beach-Anaheim, CA",31080,0.193166329907157
2020-02-03,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,0.109123271848222
2020-02-03,"Cleveland-Elyria, OH",17460,-0.130894283475969
2020-02-03,"Bakersfield, CA",12540,0.590150840029757
2020-02-03,"Des Moines-West Des Moines, IA",19780,-0.0914598686339696
2020-02-03,"Springfield, MA",44140,0.198836322904961
2020-02-03,"Columbus, OH",18140,0.100233166240371
2020-02-03,"Jacksonville, FL",27260,0.105814919387726
2020-02-03,"Richmond, VA",40060,0.00551831202748598
2020-02-03,"Akron, OH",10420,-0.07415359581181
2020-02-03,"Harrisburg-Carlisle, PA",25420,0.0578230032826088
2020-02-03,"Albuquerque, NM",10740,0.320640742858691
2020-02-03,"Providence-Warwick, RI-MA",39300,0.287296197140785
2020-02-03,"Palm Bay-Melbourne-Titusville, FL",37340,-0.0950582970311697
2020-02-03,"Greensboro-High Point, NC",24660,-0.223684812906744
2020-02-03,"Durham-Chapel Hill, NC",20500,0.273222239917459
2020-02-03,"Pensacola-Ferry Pass-Brent, FL",37860,0.268892002913756
2020-02-03,"El Paso, TX",21340,0.579313840735174
2020-02-03,"Oklahoma City, OK",36420,0.391895269039422
2020-02-03,"Sacramento-Roseville-Folsom, CA",40900,0.397696787742685
2020-02-03,"Cincinnati, OH-KY-IN",17140,0.0710648693313276
2020-02-03,"New Haven-Milford, CT",35300,0.271259423461268
2020-02-03,"Portland-Vancouver-Hillsboro, OR-WA",38900,0.591729661353302
2020-02-03,"Bridgeport-Stamford-Norwalk, CT",14860,0.279076609472262
2020-02-03,"Deltona-Daytona Beach-Ormond Beach, FL",19660,0.14400849010372
2020-02-03,"San Jose-Sunnyvale-Santa Clara, CA",41940,0.127922005701486
2020-02-03,"Augusta-Richmond County, GA-SC",12260,0.233070725331785
2020-02-03,"Dallas-Fort Worth-Arlington, TX",19100,0.123760592271971
2020-02-03,"Rochester, NY",40380,0.784460273021526
2020-02-03,"Poughkeepsie-Newburgh-Middletown, NY",39100,-1.10961353081654
2020-02-03,"Orlando-Kissimmee-Sanford, FL",36740,0.13975843484848
