date,jobcountry,indeed_job_postings_index,variable,display_name
2021-01-21,AU,88.81,total postings,Accounting
2021-01-22,AU,88.92,total postings,Accounting
2021-01-23,AU,88.9,total postings,Accounting
2021-01-24,AU,89.42,total postings,Accounting
2021-01-25,AU,89.99,total postings,Accounting
2021-01-26,AU,90.26,total postings,Accounting
2021-01-27,AU,90.6,total postings,Accounting
2021-01-28,AU,90.86,total postings,Accounting
2021-01-29,AU,90.97,total postings,Accounting
2021-01-30,AU,91.07,total postings,Accounting
2021-01-31,AU,90.77,total postings,Accounting
2021-02-01,AU,90.45,total postings,Accounting
2021-02-02,AU,90.45,total postings,Accounting
2021-02-03,AU,90.73,total postings,Accounting
2021-02-04,AU,90.59,total postings,Accounting
2021-02-05,AU,90.1,total postings,Accounting
2021-02-06,AU,89.85,total postings,Accounting
2021-02-07,AU,89.75,total postings,Accounting
2021-02-08,AU,89.75,total postings,Accounting
2021-02-09,AU,89.93,total postings,Accounting
2021-02-10,AU,89.95,total postings,Accounting
2021-02-11,AU,90.48,total postings,Accounting
2021-02-12,AU,91.26,total postings,Accounting
2021-02-13,AU,91.97,total postings,Accounting
2021-02-14,AU,92.99,total postings,Accounting
2021-02-15,AU,94.35,total postings,Accounting
2021-02-16,AU,95.18,total postings,Accounting
2021-02-17,AU,96.35,total postings,Accounting
2021-02-18,AU,97.55,total postings,Accounting
2021-02-19,AU,98.96,total postings,Accounting
2021-02-20,AU,100.25,total postings,Accounting
2021-02-21,AU,101.29,total postings,Accounting
2021-02-22,AU,102.2,total postings,Accounting
2021-02-23,AU,103.56,total postings,Accounting
2021-02-24,AU,104.8,total postings,Accounting
2021-02-25,AU,105.7,total postings,Accounting
2021-02-26,AU,106.56,total postings,Accounting
2021-02-27,AU,107.41,total postings,Accounting
2021-02-28,AU,108.25,total postings,Accounting
2021-03-01,AU,108.83,total postings,Accounting
2021-03-02,AU,109.08,total postings,Accounting
2021-03-03,AU,109.39,total postings,Accounting
2021-03-04,AU,110,total postings,Accounting
2021-03-05,AU,110.68,total postings,Accounting
2021-03-06,AU,111.31,total postings,Accounting
2021-03-07,AU,112.08,total postings,Accounting
2021-03-08,AU,112.81,total postings,Accounting
2021-03-09,AU,113.63,total postings,Accounting
2021-03-10,AU,114.35,total postings,Accounting
2021-03-11,AU,115.13,total postings,Accounting
2021-03-12,AU,115.36,total postings,Accounting
2021-03-13,AU,120.73,total postings,Accounting
2021-03-14,AU,127.4,total postings,Accounting
2021-03-15,AU,134.24,total postings,Accounting
2021-03-16,AU,140.91,total postings,Accounting
2021-03-17,AU,148.66,total postings,Accounting
2021-03-18,AU,156.26,total postings,Accounting
2021-03-19,AU,164.65,total postings,Accounting
2021-03-20,AU,168.75,total postings,Accounting
2021-03-21,AU,162.4,total postings,Accounting
2021-03-22,AU,155.47,total postings,Accounting
2021-03-23,AU,148.81,total postings,Accounting
2021-03-24,AU,141.11,total postings,Accounting
2021-03-25,AU,133.4,total postings,Accounting
2021-03-26,AU,125.43,total postings,Accounting
2021-03-27,AU,116.91,total postings,Accounting
2021-03-28,AU,117.46,total postings,Accounting
2021-03-29,AU,118.66,total postings,Accounting
2021-03-30,AU,119.84,total postings,Accounting
2021-03-31,AU,120.89,total postings,Accounting
2021-04-01,AU,121.97,total postings,Accounting
2021-04-02,AU,122.62,total postings,Accounting
2021-04-03,AU,122.85,total postings,Accounting
2021-04-04,AU,122.98,total postings,Accounting
2021-04-05,AU,122.53,total postings,Accounting
2021-04-06,AU,121.77,total postings,Accounting
2021-04-07,AU,120.49,total postings,Accounting
2021-04-08,AU,118.65,total postings,Accounting
2021-04-09,AU,117.01,total postings,Accounting
2021-04-10,AU,115.29,total postings,Accounting
2021-04-11,AU,113.35,total postings,Accounting
2021-04-12,AU,112.08,total postings,Accounting
2021-04-13,AU,111.22,total postings,Accounting
2021-04-14,AU,110.95,total postings,Accounting
2021-04-15,AU,111.35,total postings,Accounting
2021-04-16,AU,111.75,total postings,Accounting
2021-04-17,AU,112.66,total postings,Accounting
2021-04-18,AU,113.6,total postings,Accounting
2021-04-19,AU,114.4,total postings,Accounting
2021-04-20,AU,115.03,total postings,Accounting
2021-04-21,AU,115.76,total postings,Accounting
2021-04-22,AU,116.29,total postings,Accounting
2021-04-23,AU,116.92,total postings,Accounting
2021-04-24,AU,117.47,total postings,Accounting
2021-04-25,AU,118.11,total postings,Accounting
2021-04-26,AU,118.71,total postings,Accounting
2021-04-27,AU,119.13,total postings,Accounting
2021-04-28,AU,119.31,total postings,Accounting
2021-04-29,AU,119.72,total postings,Accounting
2021-04-30,AU,119.86,total postings,Accounting
2021-05-01,AU,119.45,total postings,Accounting
2021-05-02,AU,119.31,total postings,Accounting
2021-05-03,AU,118.98,total postings,Accounting
2021-05-04,AU,119.35,total postings,Accounting
2021-05-05,AU,119.92,total postings,Accounting
2021-05-06,AU,120.29,total postings,Accounting
2021-05-07,AU,121.01,total postings,Accounting
2021-05-08,AU,122.22,total postings,Accounting
2021-05-09,AU,123.16,total postings,Accounting
2021-05-10,AU,124.15,total postings,Accounting
2021-05-11,AU,124.77,total postings,Accounting
2021-05-12,AU,125.41,total postings,Accounting
